
==================================================
Sheet: 용어대조표
==================================================
No.	한국어 (Korean)	영어 (English)	비고 (Notes)
57	BIM 전환수행 방식	BIM Conversion Approach	BIM
58	BIM 저작도구	BIM Authoring Tools	BIM
59	BIM 응용도구	BIM Application Tool	BIM
60	BIM 라이브러리	BIM Library	BIM
61	BIM 속성	BIM Properties	BIM
62	BIM 성과품	BIM Deliverables	BIM
63	BIM 수행계획서	BIM Execution Plan (BEP)	BIM
64	BIM 결과보고서	BIM Execution Final Report	BIM
65	공통정보관리환경	Common Data Environment (CDE)	BIM
66	상세수준	Level of Development (LOD)	BIM
67	프로젝트 Template	Project Template	Revit
68	공유 매개변수	Shared Parameter	Revit
69	프로젝트 매개변수	Project Parameter	Revit
70	가시성	Visibility & Graphics	Revit
71	프로젝트 좌표 설정 기준	Project Coordinate Setup Standards	Revit
72	측량점	Survey Point	Revit
73	프로젝트 기준점	Project Base Point	Revit
74	공유 좌표	Shared Coordinates	Revit
75	룩업 테이블	Lookup Table	Revit
76	커넥터	Connector	Revit
77	기준점	Reference Point	Revit
78	기반 없음	Non-base	Revit
79	대공종	Discipline	공종
80	중공종	Subfield	공종
81	건축	Architecture	공종
82	구조	Structure	공종
83	기계	Mechanical	공종
84	배관	Piping	공종
85	전기	Electrical	공종
86	통신	Telecommunications	공종
87	자동제어	Instrument & Control	공종
88	전기소방	Electrical Fire Protection System	공종
89	기계소방	Mechanical Fire Protection System	공종
90	토목	Civil	공종
91	설비	MEP (Mechanical, Electrical, Plumbing)	공종
92	설계도면	Design Drawings	도면
93	기본도면	Basic Drawings	도면
94	보조도면	Supplementary Drawings	도면
95	상세도	Detail Drawings	도면
96	도면목록표	Drawing List	도면
97	표제란	Title Block	도면
98	도면명	Drawing Name	도면
99	도면번호	Drawing Number	도면
100	설계수량	Design Quantities	수량
101	수량산출	Quantity Take-Off	수량
102	자동 산출	Automated Method	수량
103	연계 산출	Attribute-Linked Method	수량
104	물량 산출	Quantity Calculation	수량
105	간섭 검토	Clash Detection	품질
106	물리적 간섭 검토	Physical Clash Detection	품질
107	유효간섭	Active Clash	품질
108	비유효간섭	Approved Clash / Invalid Clash	품질
109	허용오차	Tolerance	품질
110	정보품질	Information Quality	품질
111	물리품질	Physical Quality	품질
112	수동적 방법	Manual Method (Visual Check)	품질
113	자동적 방법	Automated Method (Physical Clash Check)	품질
114	기본설계	Design Development	단계
115	실시설계	Detailed Design / Construction Document	단계
116	시공단계	Construction Phase	단계
117	유지관리 단계	Facility Management Phase	단계
118	품명	Item Name	라이브러리
119	재질	Material	라이브러리
120	규격	Specification	라이브러리
121	상세품명	Detailed Item Name	라이브러리
122	단순 형상	Dummy (Simplified Geometry)	라이브러리
123	필수 속성 정보	Mandatory Parameters / Standard Parameters	라이브러리
124	표준 속성	Standard Parameter / Standard Property	속성
125	설계 정보	Design Information	속성
126	객체 정보	Object Information	속성
127	시공 정보	Construction Information	속성
128	속성정보	Property Information	속성
129	프로젝트명	Project Name	파일명
130	건물명	Building	파일명
131	업체명	Company	파일명
132	파일 분리	File Separation	파일명
133	필수성과품	Mandatory Deliverables	기타
134	선택성과품	Optional Deliverables	기타
135	원본 데이터	Original Data	기타
136	통합서버	Integrated Server	기타
137	설계 완성도	Design Completeness	기타
138	설계조건	Design Conditions	기타
139	설계도서	Design Documents	기타
